Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level,Address,Tenure Lease Period,Tenure From,Tenure Due,Tenure Remaining,Latitude,Longitude,Planning Area,Region
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,990000,699.66,"1,415",Jun-24,Strata,65,"15,231",99 yrs lease commencing from 1974,7," Middle Road, Golden Mile",06 to 10,"PARKLANE SHOPPING MALL, SELEGIE ROAD",99,1974,2073,49,1.30065102658844,103.84944198056,Rochor,Central
GIFFARD MANSIONS,BALESTIER ROAD,Office,635000,355.21,"1,788",Jun-24,Strata,33,"19,242",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05,"GIFFARD MANSIONS, BALESTIER ROAD",Freehold,Freehold,Freehold,Freehold,1.32619717807328,103.84910065649,Novena,Central
OXLEY TOWER,ROBINSON ROAD,Office,3700000,"1,205.57","3,069",Jun-24,Strata,112,"33,036",Freehold,1," Raffles Place, Cecil, Marina, People's Park",21 to 25,"OXLEY TOWER, ROBINSON ROAD",Freehold,Freehold,Freehold,Freehold,1.27870608494088,103.848418970551,Downtown Core,Central
,HARBOUR DRIVE,Office,160000000,"138,836.22","1,152",Jun-24,Land,"12,898.20","12,405",95 yrs lease commencing from 2000,5," Pasir Panjang, Hong Leong Garden, Clementi New Town",01 to 05,", HARBOUR DRIVE",95,2000,2095,71,1.28249647608766,103.780009950464,Queenstown,Central
EAST VILLAGE,UPPER CHANGI ROAD,Office,530000,150.7,"3,517",Jun-24,Strata,14,"37,857",Freehold,16," Bedok, Upper East Coast, Eastwood, Kew Drive",01 to 05,"EAST VILLAGE, UPPER CHANGI ROAD",Freehold,Freehold,Freehold,Freehold,1.3317758150305,103.946201241591,Bedok,East
INTERNATIONAL PLAZA,ANSON ROAD,Office,1000000,473.62,"2,111",Jun-24,Strata,44,"22,727",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",21 to 25,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,11500000,"3,078.50","3,736",Jun-24,Strata,286,"40,210",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",36 to 40,"SUNTEC TOWER ONE, TEMASEK BOULEVARD",99,1989,2088,64,1.29543569778908,103.858374825349,Downtown Core,Central
TONG ENG BUILDING,CECIL STREET,Office,1250000,462.85,"2,701",Jun-24,Strata,43,"29,070",999 yrs lease commencing from 1885,1," Raffles Place, Cecil, Marina, People's Park",11 to 15,"TONG ENG BUILDING, CECIL STREET",999,1885,2884,860,1.28098077414961,103.84943569885,Downtown Core,Central
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1950000,871.88,"2,237",Jun-24,Strata,81,"24,074",99 yrs lease commencing from 2011,14," Geylang, Eunos",11 to 15,"PAYA LEBAR SQUARE, PAYA LEBAR ROAD",99,2011,2110,86,1.31881486980278,103.892580778242,Geylang,East
PS100,PECK SEAH STREET,Office,1290000,473.62,"2,724",Jun-24,Strata,44,"29,318",99 yrs lease commencing from 2011,2," Anson, Tanjong Pagar",06 to 10,"PS100, PECK SEAH STREET",99,2011,2110,86,1.27588132600635,103.844264781517,Outram,Central
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,340000,226.04,"1,504",Jun-24,Strata,21,"16,190",99 yrs lease commencing from 1980,3," Queenstown, Tiong Bahru",B1 to B5,"CONCORDE SHOPPING CENTRE, OUTRAM ROAD",99,1980,2079,55,1.28888605616528,103.834206802698,Bukit Merah,Central
INTERNATIONAL PLAZA,ANSON ROAD,Office,4361000,"2,357.32","1,850",Jun-24,Strata,219,"19,913",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",31 to 35,"INTERNATIONAL PLAZA, ANSON ROAD",99,1970,2069,45,1.27588674266836,103.845923793168,Downtown Core,Central
FORTUNE CENTRE,MIDDLE ROAD,Office,1752000,"1,140.98","1,536",Jun-24,Strata,106,"16,528",99 yrs lease commencing from 1980,7," Middle Road, Golden Mile",16 to 20,"FORTUNE CENTRE, MIDDLE ROAD",99,1980,2079,55,1.30042241913975,103.852286627386,Rochor,Central
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,16000000,"4,833.04","3,311",Jun-24,Strata,449,"35,635",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",36 to 40,"SUNTEC TOWER THREE, TEMASEK BOULEVARD",99,1989,2088,64,1.29524342627534,103.859568074944,Downtown Core,Central
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,920460,667.37,"1,379",Jun-24,Strata,62,"14,846",99 yrs lease commencing from 1974,7," Middle Road, Golden Mile",06 to 10,"PARKLANE SHOPPING MALL, SELEGIE ROAD",99,1974,2073,49,1.30065102658844,103.84944198056,Rochor,Central
SOUTHBANK,NORTH BRIDGE ROAD,Office,868000,462.85,"1,875",Jun-24,Strata,43,"20,186",99 yrs lease commencing from 2006,7," Middle Road, Golden Mile",01 to 05,"SOUTHBANK, NORTH BRIDGE ROAD",99,2006,2105,81,1.30631203112933,103.864308334438,Kallang,Central
EON SHENTON,SHENTON WAY,Office,4090000,"1,700.71","2,405",Jun-24,Strata,158,"25,886",99 yrs lease commencing from 2011,2," Anson, Tanjong Pagar",11 to 15,"EON SHENTON, SHENTON WAY",99,2011,2110,86,1.27388660363944,103.846235542245,Downtown Core,Central
CENTRIUM SQUARE,SERANGOON ROAD,Office,3280000,"1,011.82","3,242",Jun-24,Strata,94,"34,894",Freehold,8, Little India,11 to 15,"CENTRIUM SQUARE, SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.31089355522204,103.855128248182,Kallang,Central
WOODS SQUARE,WOODLANDS SQUARE,Office,1180191,548.96,"2,150",Jun-24,Strata,51,"23,141",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10,"WOODS SQUARE, WOODLANDS SQUARE",99,2014,2113,89,1.43475811538242,103.785365472646,Woodlands,North
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,15292800,"4,779.22","3,200",Jun-24,Strata,444,"34,443",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",21 to 25,"SUNTEC TOWER THREE, TEMASEK BOULEVARD",99,1989,2088,64,1.29524342627534,103.859568074944,Downtown Core,Central
SUNSHINE PLAZA,BENCOOLEN STREET,Office,980000,538.2,"1,821",Jun-24,Strata,50,"19,600",99 yrs lease commencing from 1997,7," Middle Road, Golden Mile",06 to 10,"SUNSHINE PLAZA, BENCOOLEN STREET",99,1997,2096,72,1.30034762081549,103.851046168708,Rochor,Central
