Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level,Address,Tenure Lease Period,Tenure From,Tenure Due,Tenure Remaining,Latitude,Longitude,Planning Area,Region
KAMPONG GLAM CONSERVATION AREA,JALAN PINANG,Shop House,4180000,699.66,"5,974",Mar-24,Land,65,"64,308",Freehold,7," Middle Road, Golden Mile",01 to 05,"KAMPONG GLAM CONSERVATION AREA, JALAN PINANG",Freehold,Freehold,Freehold,Freehold,1.30287305533174,103.858485357447,Rochor,Central
SEASIDE PARK,JALAN SAUDARA KU,Shop House,1865000,947.23,"1,969",Mar-24,Strata,88,"21,193",999 yrs lease commencing from 1965,15," Katong, Joo Chiat, Amber Road",-,"SEASIDE PARK, JALAN SAUDARA KU",999,1965,2964,940,1.31082129863571,103.920375183261,Bedok,East
KRETA AYER CONSERVATION AREA,MOSQUE STREET,Shop House,15930000,"1,202.34","13,249",Mar-24,Land,111.7,"142,614",Freehold,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"KRETA AYER CONSERVATION AREA, MOSQUE STREET",Freehold,Freehold,Freehold,Freehold,1.28369926134494,103.844615300363,Outram,Central
GEYLANG CONSERVATION AREA,LORONG 13 GEYLANG,Shop House,2800000,"1,214.18","2,306",Mar-24,Land,112.8,"24,823",Freehold,14," Geylang, Eunos",01 to 05,"GEYLANG CONSERVATION AREA, LORONG 13 GEYLANG",Freehold,Freehold,Freehold,Freehold,1.3128586776044,103.877494568545,Geylang,East
,BALESTIER ROAD,Shop House,6432100,"1,756.68","3,661",Mar-24,Land,163.2,"39,412",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05,", BALESTIER ROAD",Freehold,Freehold,Freehold,Freehold,1.31944053717385,103.854371519518,Kallang,Central
,EAST COAST ROAD,Shop House,10300000,"1,862.17","5,531",Feb-24,Land,173,"59,538",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,", EAST COAST ROAD",Freehold,Freehold,Freehold,Freehold,1.31105505030077,103.920293112803,Bedok,East
PLATINA GARDENS,SEMBAWANG ROAD,Shop House,2400000,"1,054.87","2,275",Feb-24,Strata,98,"24,490",Freehold,27," Yishun, Sembawang",-,"PLATINA GARDENS, SEMBAWANG ROAD",Freehold,Freehold,Freehold,Freehold,1.42745735800015,103.826333180062,Mandai,North
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,18680000,"4,318.52","4,326",Feb-24,Land,401.2,"46,560",Freehold,14," Geylang, Eunos",01 to 05,"GEYLANG CONSERVATION AREA, GEYLANG ROAD",Freehold,Freehold,Freehold,Freehold,1.31380113975888,103.884821208591,Geylang,East
,EAST COAST ROAD,Shop House,7450000,"2,417.59","3,082",Feb-24,Land,224.6,"33,170",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,", EAST COAST ROAD",Freehold,Freehold,Freehold,Freehold,1.31105505030077,103.920293112803,Bedok,East
LITTLE INDIA CONSERVATION AREA,CUFF ROAD,Shop House,6400000,"1,537.10","4,164",Feb-24,Land,142.8,"44,818",Freehold,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, CUFF ROAD",Freehold,Freehold,Freehold,Freehold,1.30723056758985,103.852744945779,Rochor,Central
,SYED ALWI ROAD,Shop House,14380000,"2,709.30","5,308",Feb-24,Land,251.7,"57,132",Freehold,8, Little India,01 to 05,", SYED ALWI ROAD",Freehold,Freehold,Freehold,Freehold,1.30963000241648,103.855238355109,Rochor,Central
LITTLE INDIA CONSERVATION AREA,MADRAS STREET,Shop House,5200000,"1,480.05","3,513",Feb-24,Land,137.5,"37,818",99 yrs lease commencing from 1994,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, MADRAS STREET",99,1994,2093,69,1.30461645780005,103.852740134666,Rochor,Central
LITTLE INDIA CONSERVATION AREA,CLIVE STREET,Shop House,5150000,768.55,"6,701",Feb-24,Land,71.4,"72,129",Freehold,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, CLIVE STREET",Freehold,Freehold,Freehold,Freehold,1.30655926844978,103.853126721253,Rochor,Central
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,9500000,"1,752.38","5,421",Jan-24,Land,162.8,"58,354",99 yrs lease commencing from 2000,2," Anson, Tanjong Pagar",01 to 05,"TANJONG PAGAR CONSERVATION AREA, TANJONG PAGAR ROAD",99,2000,2099,75,1.27843513419801,103.8436835651,Outram,Central
,SYED ALWI ROAD,Shop House,7780000,"1,269.08","6,130",Jan-24,Land,117.9,"65,988",Freehold,8, Little India,01 to 05,", SYED ALWI ROAD",Freehold,Freehold,Freehold,Freehold,1.30963000241648,103.855238355109,Rochor,Central
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,5250000,588.79,"8,917",Jan-24,Land,54.7,"95,978",999 yrs lease commencing from 1878,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, DUNLOP STREET",999,1878,2877,853,1.30461756159477,103.853791607012,Rochor,Central
,EMERALD HILL ROAD,Shop House,16000000,"1,657.66","9,652",Dec-23,Land,154,"103,896",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05,", EMERALD HILL ROAD",Freehold,Freehold,Freehold,Freehold,1.30505900921312,103.83923580687,Newton,Central
,SIMS AVENUE,Shop House,3650000,"1,287.37","2,835",Dec-23,Land,119.6,"30,518",Freehold,14," Geylang, Eunos",01 to 05,", SIMS AVENUE",Freehold,Freehold,Freehold,Freehold,1.31488723057014,103.882616155438,Geylang,East
SOUTH UNION PARK,JALAN TUA KONG,Shop House,1650000,"1,356.26","1,217",Nov-23,Strata,126,"13,095",Freehold,15," Katong, Joo Chiat, Amber Road",-,"SOUTH UNION PARK, JALAN TUA KONG",Freehold,Freehold,Freehold,Freehold,1.31573506259099,103.9254823707,Bedok,East
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,9200000,"2,546.76","3,612",Nov-23,Land,236.6,"38,884",Freehold,14," Geylang, Eunos",01 to 05,"GEYLANG CONSERVATION AREA, GEYLANG ROAD",Freehold,Freehold,Freehold,Freehold,1.31380113975888,103.884821208591,Geylang,East
,SERANGOON ROAD,Shop House,18500000,"2,235.68","8,275",Nov-23,Land,207.7,"89,071",999 yrs lease commencing from 1860,8, Little India,01 to 05,", SERANGOON ROAD",999,1860,2859,835,1.32911467852282,103.864504469886,Kallang,Central
,MACPHERSON ROAD,Shop House,1821090,"1,399.32","1,301",Nov-23,Strata,130,"14,008",9999 yrs lease commencing from 1959,13," Macpherson, Braddell",-,", MACPHERSON ROAD",9999,1959,11958,9934,1.32870401501177,103.872121303246,Geylang,East
,BUKIT TIMAH ROAD,Shop House,5400000,"1,426.23","3,786",Nov-23,Land,132.5,"40,755",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05,", BUKIT TIMAH ROAD",Freehold,Freehold,Freehold,Freehold,1.35349310900464,103.787868117719,Central Water Catchment,Central
,THOMSON RIDGE,Shop House,17000000,"3,482.15","4,882",Oct-23,Land,323.5,"52,550",Freehold,20," Bishan, Ang Mo Kio",01 to 05,", THOMSON RIDGE",Freehold,Freehold,Freehold,Freehold,1.3519289464913,103.834344906945,Bishan,Central
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,4260000,763.17,"5,582",Oct-23,Land,70.9,"60,085",Freehold,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, DUNLOP STREET",Freehold,Freehold,Freehold,Freehold,1.30461756159477,103.853791607012,Rochor,Central
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,5060000,"1,517.72","3,334",Oct-23,Land,141,"35,887",199 yrs lease commencing from 2005,14," Geylang, Eunos",01 to 05,"GEYLANG CONSERVATION AREA, GEYLANG ROAD",199,2005,2204,180,1.31380113975888,103.884821208591,Geylang,East
ENG KONG PARK,ENG KONG TERRACE,Shop House,3900000,"1,520.95","2,564",Oct-23,Land,141.3,"27,601",Freehold,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05,"ENG KONG PARK, ENG KONG TERRACE",Freehold,Freehold,Freehold,Freehold,1.33618057070716,103.768590228969,Bukit Timah,West
DESKER ROAD CONSERVATION AREA,ROWELL ROAD,Shop House,4950000,"1,103.31","4,486",Oct-23,Land,102.5,"48,293",Freehold,8, Little India,01 to 05,"DESKER ROAD CONSERVATION AREA, ROWELL ROAD",Freehold,Freehold,Freehold,Freehold,1.30877620700143,103.85484916474,Rochor,Central
,RACE COURSE ROAD,Shop House,5300000,"1,625.36","3,261",Oct-23,Land,151,"35,099",Freehold,8, Little India,01 to 05,", RACE COURSE ROAD",Freehold,Freehold,Freehold,Freehold,1.31476981592523,103.857159572126,Kallang,Central
,OWEN ROAD,Shop House,1900000,"3,372.36",563,Oct-23,Land,313.3,"6,064",99 yrs lease commencing from 1959,8, Little India,01 to 05,", OWEN ROAD",99,1959,2058,34,1.31476981592523,103.857159572126,Kallang,Central
LITTLE INDIA CONSERVATION AREA,UPPER WELD ROAD,Shop House,5500000,"1,174.35","4,683",Oct-23,Land,109.1,"50,412",Freehold,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, UPPER WELD ROAD",Freehold,Freehold,Freehold,Freehold,1.3062448204137,103.853541174101,Rochor,Central
LITTLE INDIA CONSERVATION AREA,SERANGOON ROAD,Shop House,7000000,857.89,"8,160",Oct-23,Land,79.7,"87,829",Freehold,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.30696027751414,103.852334844998,Rochor,Central
,CHANGI ROAD,Shop House,3980000,"1,636.13","2,433",Sep-23,Strata,152,"26,184",Freehold,14," Geylang, Eunos",-,", CHANGI ROAD",Freehold,Freehold,Freehold,Freehold,1.31748692341797,103.904124294029,Geylang,East
,UPPER EAST COAST ROAD,Shop House,5800000,"2,206.62","2,628",Sep-23,Strata,205,"28,293",Freehold,15," Katong, Joo Chiat, Amber Road",-,", UPPER EAST COAST ROAD",Freehold,Freehold,Freehold,Freehold,1.31451385347193,103.934286496109,Bedok,East
BLAIR PLAIN CONSERVATION AREA,KAMPONG BAHRU ROAD,Shop House,7880000,"1,174.35","6,710",Sep-23,Land,109.1,"72,227",Freehold,3," Queenstown, Tiong Bahru",01 to 05,"BLAIR PLAIN CONSERVATION AREA, KAMPONG BAHRU ROAD",Freehold,Freehold,Freehold,Freehold,1.27669320663686,103.836145813965,Bukit Merah,Central
,LORONG 25A GEYLANG,Shop House,1265000,990.29,"1,277",Sep-23,Strata,92,"13,750",Freehold,14," Geylang, Eunos",-,", LORONG 25A GEYLANG",Freehold,Freehold,Freehold,Freehold,1.31449472443087,103.882907152234,Geylang,East
KAMPONG GLAM CONSERVATION AREA,JALAN PISANG,Shop House,6880000,814.83,"8,443",Sep-23,Land,75.7,"90,885",Freehold,7," Middle Road, Golden Mile",01 to 05,"KAMPONG GLAM CONSERVATION AREA, JALAN PISANG",Freehold,Freehold,Freehold,Freehold,1.30296642723967,103.858652909561,Rochor,Central
TANJONG PAGAR CONSERVATION AREA,NEIL ROAD,Shop House,9400000,"1,342.27","7,003",Sep-23,Land,124.7,"75,381",99 yrs lease commencing from 1989,2," Anson, Tanjong Pagar",01 to 05,"TANJONG PAGAR CONSERVATION AREA, NEIL ROAD",99,1989,2088,64,1.27973767762315,103.84302596595,Outram,Central
BOAT QUAY CONSERVATION AREA,SOUTH BRIDGE ROAD,Shop House,11420000,"1,393.94","8,193",Sep-23,Land,129.5,"88,185",999 yrs lease commencing from 1831,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"BOAT QUAY CONSERVATION AREA, SOUTH BRIDGE ROAD",999,1831,2830,806,1.2869751980861,103.848284620895,Singapore River,Central
LITTLE INDIA CONSERVATION AREA,DICKSON ROAD,Shop House,6000000,"1,416.54","4,236",Aug-23,Land,131.6,"45,593",99 yrs lease commencing from 1930,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, DICKSON ROAD",99,1930,2029,5,1.30545683836272,103.853622834481,Rochor,Central
,OPAL CRESCENT,Shop House,3318000,"1,550.02","2,141",Aug-23,Land,144,"23,042",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05,", OPAL CRESCENT",Freehold,Freehold,Freehold,Freehold,1.32766809698845,103.866943116532,Kallang,Central
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,3900000,458.55,"8,505",Aug-23,Land,42.6,"91,549",999 yrs lease commencing from 1878,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, DUNLOP STREET",999,1878,2877,853,1.30461756159477,103.853791607012,Rochor,Central
,UPPER PAYA LEBAR ROAD,Shop House,3300000,"1,828.80","1,804",Aug-23,Land,169.9,"19,423",Freehold,19," Serangoon Garden, Hougang, Punggol",01 to 05,", UPPER PAYA LEBAR ROAD",Freehold,Freehold,Freehold,Freehold,1.33518425281789,103.888238315227,Toa Payoh,Central
BLAIR PLAIN CONSERVATION AREA,KAMPONG BAHRU ROAD,Shop House,7500000,"1,184.04","6,334",Aug-23,Land,110,"68,182",Freehold,3," Queenstown, Tiong Bahru",01 to 05,"BLAIR PLAIN CONSERVATION AREA, KAMPONG BAHRU ROAD",Freehold,Freehold,Freehold,Freehold,1.27669320663686,103.836145813965,Bukit Merah,Central
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,16200000,"1,683.49","9,623",Aug-23,Land,156.4,"103,581",99 yrs lease commencing from 1988,2," Anson, Tanjong Pagar",01 to 05,"TANJONG PAGAR CONSERVATION AREA, TANJONG PAGAR ROAD",99,1988,2087,63,1.27843513419801,103.8436835651,Outram,Central
,THONG SOON AVENUE,Shop House,1716888,"1,776.06",967,Aug-23,Strata,165,"10,405",Freehold,26," Upper Thomson, Springleaf",-,", THONG SOON AVENUE",Freehold,Freehold,Freehold,Freehold,1.39755851205291,103.818848571376,Yishun,North
FRANKEL ESTATE,SIGLAP DRIVE,Shop House,3938888,"1,889.08","2,085",Aug-23,Land,175.5,"22,444",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,"FRANKEL ESTATE, SIGLAP DRIVE",Freehold,Freehold,Freehold,Freehold,1.31648585145621,103.919942271377,Bedok,East
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,5300000,"1,367.03","3,877",Aug-23,Land,127,"41,732",Freehold,14," Geylang, Eunos",01 to 05,"GEYLANG CONSERVATION AREA, GEYLANG ROAD",Freehold,Freehold,Freehold,Freehold,1.31380113975888,103.884821208591,Geylang,East
,LORONG LIPUT,Shop House,12730000,"1,713.63","7,429",Aug-23,Land,159.2,"79,962",Freehold,10," Ardmore, Bukit Timah, Holland Road, Tanglin",01 to 05,", LORONG LIPUT",Freehold,Freehold,Freehold,Freehold,1.31050657133417,103.795176624233,Queenstown,Central
,BALESTIER ROAD,Shop House,1038000,"1,538.18",675,Aug-23,Land,142.9,"7,264",99 yrs lease commencing from 1952,12," Balestier, Toa Payoh, Serangoon",01 to 05,", BALESTIER ROAD",99,1952,2051,27,1.31944053717385,103.854371519518,Kallang,Central
LITTLE INDIA CONSERVATION AREA,DESKER ROAD,Shop House,6500000,"1,053.80","6,168",Aug-23,Land,97.9,"66,394",Freehold,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, DESKER ROAD",Freehold,Freehold,Freehold,Freehold,1.30851472999588,103.851500345951,Rochor,Central
,JOO CHIAT ROAD,Shop House,12000000,"9,493.85","1,264",Aug-23,Strata,882,"13,605",99 yrs lease commencing from 1995,15," Katong, Joo Chiat, Amber Road",01 to 05,", JOO CHIAT ROAD",99,1995,2094,70,1.31552186936095,103.898992245034,Geylang,East
,SIMS AVENUE,Shop House,8888800,"3,704.97","2,399",Aug-23,Land,344.2,"25,825",Freehold,14," Geylang, Eunos",01 to 05,", SIMS AVENUE",Freehold,Freehold,Freehold,Freehold,1.31488723057014,103.882616155438,Geylang,East
,OPAL CRESCENT,Shop House,3400000,"1,555.40","2,186",Aug-23,Land,144.5,"23,529",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05,", OPAL CRESCENT",Freehold,Freehold,Freehold,Freehold,1.32766809698845,103.866943116532,Kallang,Central
,LORONG 11 GEYLANG,Shop House,8000000,"4,152.75","1,926",Aug-23,Land,385.8,"20,736",Freehold,14," Geylang, Eunos",01 to 05,", LORONG 11 GEYLANG",Freehold,Freehold,Freehold,Freehold,1.31278804563291,103.876803312653,Geylang,East
KRETA AYER CONSERVATION AREA,MOSQUE STREET,Shop House,15600000,"1,250.78","12,472",Aug-23,Land,116.2,"134,251",Freehold,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"KRETA AYER CONSERVATION AREA, MOSQUE STREET",Freehold,Freehold,Freehold,Freehold,1.28369926134494,103.844615300363,Outram,Central
LITTLE INDIA CONSERVATION AREA,VEERASAMY ROAD,Shop House,7000000,"1,951.51","3,587",Aug-23,Land,181.3,"38,610",Freehold,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, VEERASAMY ROAD",Freehold,Freehold,Freehold,Freehold,1.30746929572895,103.853246832408,Rochor,Central
PETAIN ROAD/TYRWHITT ROAD CONSERVATION A,JALAN BESAR,Shop House,8888888,"1,528.49","5,815",Aug-23,Land,142,"62,598",Freehold,8, Little India,01 to 05,"PETAIN ROAD/TYRWHITT ROAD CONSERVATION A, JALAN BESAR",Freehold,Freehold,Freehold,Freehold,1.31089119138702,103.858643561536,Kallang,Central
SERANGOON GARDEN ESTATE,SERANGOON GARDEN WAY,Shop House,13500000,"2,146.34","6,290",Jul-23,Land,199.4,"67,703",999 yrs lease commencing from 1955,19," Serangoon Garden, Hougang, Punggol",01 to 05,"SERANGOON GARDEN ESTATE, SERANGOON GARDEN WAY",999,1955,2954,930,1.36469147379305,103.864399896337,Serangoon,Central
,KEONG SAIK ROAD,Shop House,15500000,"1,066.71","14,531",Jul-23,Land,99.1,"156,408",Freehold,2," Anson, Tanjong Pagar",01 to 05,", KEONG SAIK ROAD",Freehold,Freehold,Freehold,Freehold,1.27965766829005,103.841343252726,Outram,Central
,ST. GEORGE'S ROAD,Shop House,4900000,"1,130.22","4,335",Jul-23,Strata,105,"46,667",Freehold,12," Balestier, Toa Payoh, Serangoon",-,", ST. GEORGE'S ROAD",Freehold,Freehold,Freehold,Freehold,1.32478615314534,103.862194367527,Kallang,Central
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,8500000,"1,940.75","4,380",Jul-23,Land,180.3,"47,144",199 yrs lease commencing from 2002,14," Geylang, Eunos",01 to 05,"GEYLANG CONSERVATION AREA, GEYLANG ROAD",199,2002,2201,177,1.31380113975888,103.884821208591,Geylang,East
TELOK AYER CONSERVATION AREA,ANN SIANG ROAD,Shop House,32000000,"1,445.61","22,136",Jul-23,Land,134.3,"238,273",999 yrs lease commencing from 1827,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,"TELOK AYER CONSERVATION AREA, ANN SIANG ROAD",999,1827,2826,802,1.28103576177953,103.845574098734,Outram,Central
LITTLE INDIA CONSERVATION AREA,UPPER WELD ROAD,Shop House,4480000,942.93,"4,751",Jul-23,Land,87.6,"51,142",Freehold,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, UPPER WELD ROAD",Freehold,Freehold,Freehold,Freehold,1.3062448204137,103.853541174101,Rochor,Central
LITTLE INDIA CONSERVATION AREA,BUFFALO ROAD,Shop House,4400000,"1,019.35","4,316",Jul-23,Land,94.7,"46,463",99 yrs lease commencing from 1993,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, BUFFALO ROAD",99,1993,2092,68,1.30646937181622,103.851316460948,Rochor,Central
,OPAL CRESCENT,Shop House,3800000,"1,699.64","2,236",Jul-23,Land,157.9,"24,066",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05,", OPAL CRESCENT",Freehold,Freehold,Freehold,Freehold,1.32766809698845,103.866943116532,Kallang,Central
KAMPONG GLAM CONSERVATION AREA,BUSSORAH STREET,Shop House,4800000,724.42,"6,626",Jul-23,Land,67.3,"71,322",99 yrs lease commencing from 2003,7," Middle Road, Golden Mile",01 to 05,"KAMPONG GLAM CONSERVATION AREA, BUSSORAH STREET",99,2003,2102,78,1.30191362864241,103.85955884582,Rochor,Central
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,4888888,741.64,"6,592",Jul-23,Land,68.9,"70,956",999 yrs lease commencing from 1879,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, DUNLOP STREET",999,1879,2878,854,1.30461756159477,103.853791607012,Rochor,Central
,GEYLANG ROAD,Shop House,30000000,"4,517.65","6,641",Jun-23,Land,419.7,"71,480",Freehold,14," Geylang, Eunos",01 to 05,", GEYLANG ROAD",Freehold,Freehold,Freehold,Freehold,1.31422874053214,103.889105438693,Geylang,East
,ONAN ROAD,Shop House,6350000,"4,726.47","1,343",Jun-23,Land,439.1,"14,461",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,", ONAN ROAD",Freehold,Freehold,Freehold,Freehold,1.31572382921252,103.89744106795,Geylang,East
,GEYLANG ROAD,Shop House,3650000,"1,363.80","2,676",Jun-23,Land,126.7,"28,808",Freehold,14," Geylang, Eunos",01 to 05,", GEYLANG ROAD",Freehold,Freehold,Freehold,Freehold,1.31422874053214,103.889105438693,Geylang,East
SEMBAWANG HILLS ESTATE,CASUARINA ROAD,Shop House,5700000,"2,005.33","2,842",Jun-23,Land,186.3,"30,596",Freehold,20," Bishan, Ang Mo Kio",01 to 05,"SEMBAWANG HILLS ESTATE, CASUARINA ROAD",Freehold,Freehold,Freehold,Freehold,1.37315753485094,103.82798010171,Ang Mo Kio,Central
LITTLE INDIA CONSERVATION AREA,PERAK ROAD,Shop House,13080000,"2,869.68","4,558",Jun-23,Land,266.6,"49,062",99 yrs lease commencing from 1994,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, PERAK ROAD",99,1994,2093,69,1.30473430911217,103.853539428221,Rochor,Central
,LORONG 17 GEYLANG,Shop House,2480000,"1,009.66","2,456",Jun-23,Land,93.8,"26,439",Freehold,14," Geylang, Eunos",01 to 05,", LORONG 17 GEYLANG",Freehold,Freehold,Freehold,Freehold,1.31311444517578,103.87894594492,Geylang,East
LITTLE INDIA CONSERVATION AREA,JALAN BESAR,Shop House,5700000,"1,143.14","4,986",Jun-23,Land,106.2,"53,672",999 yrs lease commencing from 1878,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, JALAN BESAR",999,1878,2877,853,1.30488823405737,103.854759022994,Rochor,Central
LITTLE INDIA CONSERVATION AREA,KERBAU ROAD,Shop House,3550000,904.18,"3,926",Jun-23,Land,84,"42,262",99 yrs lease commencing from 1995,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, KERBAU ROAD",99,1995,2094,70,1.30721605316766,103.850781393009,Rochor,Central
,OPAL CRESCENT,Shop House,5200000,"2,461.73","2,112",Jun-23,Land,228.7,"22,737",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05,", OPAL CRESCENT",Freehold,Freehold,Freehold,Freehold,1.32766809698845,103.866943116532,Kallang,Central
,NEW BRIDGE ROAD,Shop House,5500000,"1,326.12","4,147",Jun-23,Land,123.2,"44,643",99 yrs lease commencing from 1928,1," Raffles Place, Cecil, Marina, People's Park",01 to 05,", NEW BRIDGE ROAD",99,1928,2027,3,1.28567529545314,103.844032213661,Outram,Central
,EAST COAST ROAD,Shop House,8000000,"1,344.42","5,951",Jun-23,Land,124.9,"64,051",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,", EAST COAST ROAD",Freehold,Freehold,Freehold,Freehold,1.31105505030077,103.920293112803,Bedok,East
,JOO CHIAT PLACE,Shop House,4200000,"1,016.12","4,133",Jun-23,Land,94.4,"44,492",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05,", JOO CHIAT PLACE",Freehold,Freehold,Freehold,Freehold,1.31333241479016,103.899812758346,Geylang,East
LITTLE INDIA CONSERVATION AREA,VEERASAMY ROAD,Shop House,6480000,"1,596.30","4,059",Jun-23,Land,148.3,"43,695",Freehold,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, VEERASAMY ROAD",Freehold,Freehold,Freehold,Freehold,1.30746929572895,103.853246832408,Rochor,Central
LITTLE INDIA CONSERVATION AREA,JALAN BESAR,Shop House,11000000,"1,237.86","8,886",Jun-23,Land,115,"95,652",999 yrs lease commencing from 1926,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, JALAN BESAR",999,1926,2925,901,1.30488823405737,103.854759022994,Rochor,Central
DESKER ROAD CONSERVATION AREA,ROWELL ROAD,Shop House,5200000,"1,190.50","4,368",Jun-23,Land,110.6,"47,016",Freehold,8, Little India,01 to 05,"DESKER ROAD CONSERVATION AREA, ROWELL ROAD",Freehold,Freehold,Freehold,Freehold,1.30877620700143,103.85484916474,Rochor,Central
BLAIR PLAIN CONSERVATION AREA,KAMPONG BAHRU ROAD,Shop House,6150000,865.43,"7,106",Jun-23,Land,80.4,"76,493",Freehold,3," Queenstown, Tiong Bahru",01 to 05,"BLAIR PLAIN CONSERVATION AREA, KAMPONG BAHRU ROAD",Freehold,Freehold,Freehold,Freehold,1.27669320663686,103.836145813965,Bukit Merah,Central
LITTLE INDIA CONSERVATION AREA,BELILIOS LANE,Shop House,7050000,"2,203.39","3,200",Jun-23,Land,204.7,"34,441",99 yrs lease commencing from 1995,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, BELILIOS LANE",99,1995,2094,70,1.30717992791828,103.851756183063,Rochor,Central
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,6500000,"1,487.58","4,369",Jun-23,Land,138.2,"47,033",Freehold,14," Geylang, Eunos",01 to 05,"GEYLANG CONSERVATION AREA, GEYLANG ROAD",Freehold,Freehold,Freehold,Freehold,1.31380113975888,103.884821208591,Geylang,East
,SERANGOON ROAD,Shop House,5900000,"1,266.92","4,657",Jun-23,Land,117.7,"50,127",Freehold,8, Little India,01 to 05,", SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.32911467852282,103.864504469886,Kallang,Central
,SERANGOON ROAD,Shop House,5900000,"1,229.25","4,800",Jun-23,Land,114.2,"51,664",Freehold,8, Little India,01 to 05,", SERANGOON ROAD",Freehold,Freehold,Freehold,Freehold,1.32911467852282,103.864504469886,Kallang,Central
LITTLE INDIA CONSERVATION AREA,MADRAS STREET,Shop House,3600000,773.93,"4,652",Jun-23,Land,71.9,"50,070",99 yrs lease commencing from 1993,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, MADRAS STREET",99,1993,2092,68,1.30461645780005,103.852740134666,Rochor,Central
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,4280000,811.61,"5,273",Jun-23,Land,75.4,"56,764",999 yrs lease commencing from 1859,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, DUNLOP STREET",999,1859,2858,834,1.30461756159477,103.853791607012,Rochor,Central
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,4700000,816.99,"5,753",May-23,Land,75.9,"61,924",999 yrs lease commencing from 1879,8, Little India,01 to 05,"LITTLE INDIA CONSERVATION AREA, DUNLOP STREET",999,1879,2878,854,1.30461756159477,103.853791607012,Rochor,Central
,JALAN BINGKA,Shop House,850000,"1,097.93",774,May-23,Strata,102,"8,333",99 yrs lease commencing from 1952,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",-,", JALAN BINGKA",99,1952,2051,27,1.3410365541417,103.780059275355,Bukit Timah,West
